,comment,Org Name,predicted_sentiment
13163,"Thank you to all the staff who were very polite and friendly to everyone, the hospital is very clean, i was seen quickly not much waiting, the staff never stopped working.",Wharfedale Hospital,positive
1730,"Yet again, not that I enjoy going in hospital but I had to have an endoscopy in CDH, a procedure that I do not like,CDH came out on top again .I attended CIU department for the Pre op and procedure the staff were fantastic in all areas from getting me a cancellation to after care,you should be proud of all staff in CIU. Also the person who did the Endoscopy and the assistant anaethetist for putting me at ease. This is the second time this year I have complimented this Hospital ,Thankyou",Chorley and South Ribble Hospital,positive
5491,I was treated very well on Maple Ward and I had ect treatment at the ect suite and the hospital saved my life.,Meadowfield,positive
6592,"The reception staff directed us to the wrong waiting area for an ultrasound scan and the sonographer went home without seeing us. Nobody looked for us in the original waiting area, which would have helped as they changed the designated waiting area that day.",Okehampton Community Hospital,negative
10725,"brought in as emergency to A+E(my partner) and had a long wait. The back entrance he was brought in by paramedics was dirty, nurses were abrupt and were obviously tired and fed up and my partner was very distraught.  I went to the toilet which was disgusting piled high with dirty paper towel and a broken toilet seat on the floor.  This was literally yards from where doctors and nurses were working.  Could they not get a cleaner to do something. Ok they have a busy job to do but the smell emanating from those toilets surely would put more patients at risk from infections.  MRSA must be high in this hospital.  In the reception area just a little  further down there was a cleaner hoovering a spotless and empty reception. doesn't make sense.  Will avoid this hospital at all costs.",St Mary's Hospital (HQ),negative
6082,"Once again I was back at the Hospital at Out Patients and everyone was very good and caring I would once again like to say a big thank you to you all especially the specialist nurse, she is amazing and so gentle and caring. I'm sure you spray a kind dust on the staff when they come to work, well done. People are quick to condem the National health but without it i wouldnt be here.",North Manchester General Hospital,positive
2197,Everything as my dad was bleeding heavly from a dog bite and the blood was gusing all over and thius just but another dressing on. when we went in to the side room the doctor took the bandage off and it was guishing and i went to get a nurse and there were busy so i had to put gloves on and re dress the bite,Darlington Memorial Hospital,negative
10029,"Cleanliness, washing patients never happened, looking after people with diabbetees , lack of staff to patient numbers",Southampton General Hospital,negative
163,"My elderly father was admitted via paramedic call out with an acute UTI. He waited in A&amp;E for about 6 hours before an Assessment bed was available. His current medication was wrongly recorded so for a week, in 3 different wards, he was given medication not prescribed for him. No-one assisted him with feeding so his weight has dramatically dropped. Despite the UTI making him incontinent he was left to sit in a chair all afternoon in urine soaked clothing.
Is this really any way to treat people?",Alexandra Hospital,negative
13046,"So far I have made ten attempts to make an appointment via the 'choose and book' system.
I have even received a letter from Milton Keynes telling me that I have NOT made the appointment.............
There was a 39 day wait when I first tried - now I see that has gone up to 41 so obviously some people have been able to make appointments, but the 'continue to step 2' is grey and will not respond to my 'click'.",Weston General Hospital,negative
8141,Absolutly nothing.,Royal Albert Edward Infirmary,positive
1215,"The only area of improvement -  the dreadful car parking and charges structure.   I do appreciate the difficulty of this whilst the re-building work is going on,   There has to be more flexibility in calculating the charge,  but hopefully, when all building work is complete, there will be more spaces.",Broomfield Hospital,negative
10090,"I liked the way I was reassured about the treatment I was about to undergo, the professional but friendly attitude of all the staff. I have had to visit several departments and found all to be very good.",Southend Hospital,positive
3317,"I was admitted to the Accident and Emergency Department and cannot praise enough the care that I received from all the staff. They were caring, friendly and very professional. It was a very scary time, but I felt very reassured by the care I received. A huge thank you.",Gloucestershire Royal Hospital,positive
732,"When i arrived at the hospital, everyone i encountered from the receptionist at the clinic desk who was friendly and approachable, the nurse who was just lovely and recognised that i had a problem that required treatment, the doctor who explained the condition( not serious) to me and was very reassuring and last but not least the pharmacist who was generally very helpful and pointed out the one medicine that i could buy over the counter, to save me money. I am a real coward and was very nervous when i first  came through the door, but the overall efficient and pleasant attiitude of all the staff i encountered made it a far more bearable visit than it might have been. So credit where it is due, thank you very much.",Birmingham Midland Eye Centre (Bmec),positive
12549,"The level of care by all staff - time spent on each patient is not enough at all. My elderly family member currently in the hospital, was helped into the chair by the nurse and left with her buzzer acorss the other size of the room for over an hour. The food options given to vegatarian patiants is not enough. Patients are not told enough information about their ilness - my family member was having constant D &amp; V and could not keep her food down, nobody has told her why she is constantly throwing up or monitoring anything she is eating. Instead they just put her on a drip instead of addressing the cause of the problem. The doctor had told her that her tablets she was currently on need looking at as she shouldnt be on certain things, yet two weeks later the nurses are still giving her the same medication she was on when she went in and this has not been mentioned by the doctor since.",University Hospital Of North Tees,negative
3158,"I have been a patient at Fulwood Hall on a number of occasions but this time was treated in their newly built daycare ward. I had my own little cubicle/room which was very clean and comfortable. It had a TV and enough space for visitors. The cubicles are all really close to the nurses desk which was particularly reassuring. 

I had an operation on my knee under local anaesthetic and I was only in hospital for 2 and a half hours in total but I couldn't have felt better cared for. Thanks to all.",Fulwood Hall Hospital,positive
10786,"The hospital was clean and tidy.
The staff were excellent at keeping me informed of what is happening.
I was looked after very well by all the staff on ward 78 and the nurse who booked me is a great asset to the hospital.",St Michael's Hospital,positive
8129,"Every member of staff I had to talk to was helpful, respectful, caring and reassuring.",Royal Albert Edward Infirmary,positive
4895,"Unfortunetly it was dads long delay before his emergency surgery that caused the complications that led to this second operation  that preceded his heart attack. Staff should talk to families and keep them informed of the patients condition when the patient is elderly, hard of hearing and has dementia",Lister Hospital,negative
5082,"The bedside manner of all the team in the delivery suite - professional and friendly at all times.
Explained procedures and aspects of care very well which made me feel part of the process.
I was never made to feel a burden or a pain in the neck. 
They followed my birthing plan and respected my wishes as a patient and mother.
The midwives are a credit to the hospital.",Luton and Dunstable Hospital,positive
6147,"The A&amp;E reception area was dark and morbid. There seemed to be no separation for children and adults even after reporting to the reception desk. The two staff members at the desk looked gloomy and blunt (probably because they had a large fan operating behind them but they were dressed for winter).

We needed the Walk-in Centre, which features on the hospital's website as being open. On arrival (around 8:30pm), the centre was closed, with a note posted on the door directing everyone to the A&amp;E reception area; the note also mentioned that the A&amp;E reception staff will guide us to the Walk-in Centre, which apparently relocated within the main building.
A&amp;E reception staff said that the centre is closed and that it has not relocated and that everyone is being seen through the A&amp;E department.

They eventually took our details to see a pediatrician; one and a half hours later, we were still waiting to be seen. We eventually left and went to Whipps Cross, where, athough there was a queue, we were directed to the children's department and seen promptly.",North Middlesex University Hospital,positive
505,The look and feel of the clean comfortable unit. The pleasent professional staff from the CSW through to the Consultant.,Basildon University Hospital,positive
6303,"The attitude and committment of all nurses, doctors and all the other auxilliary staff was excellent - this was one team from the cleaner to the consultant.

The TV was free to view which hasn't been my experience in other hospitals and the food was not bad at all compared to previous experience elsewhere.

Nobody wants to be in hospital but my experience was pleasently reasurring that maybe the NHS isn't as bad as it's made out to be. Well certainly as far as what the patient sees anyway.",Northern General Hospital,positive
7976,"My mum has been a patient in Ripon Community Hospital for three weeks following an operation in Harrogate Hospital and the care she has received here has been excellent.
Everyone works so well together to provide a wonderful caring,supportive and friendly environment which I am sure has helped my mum recover much more quickly than she would have done anywhere else.",Ripon and District Community Hospital,positive
314,"The only problem that I have found on both occasions is the time that you have to wait for a Taxi to come home, yes they fetch you and send you home in a Taxi, when you have has major surgery the last thing you want to do is to be hanging about for 3hours waiting to go home, so yes that is the only downfall and needs to be sorted out.",Barlborough NHS Treatment Centre,negative
