,comment,Org Name,Department,month,year,predicted_sentiment
0,"I had an appointment at the Endoscopy Unit on 11th April and experienced excellent care from start to finish of the time I spent there.
The four members of the team who carried out the procedure were faultless in every way. Truly I couldn't have had a better team of medical professionals.  The screening practitioner explained everything, was understanding and reassuring, communicated well throughout the procedure, and the three nurses present were empathic and caring also. 
The way they all balanced patient care and professionalism was impressive and I'm grateful to them individually and as a team. 
The unit is comfortable and clean and the before and after procedure care was also excellent. 
A heartfelt thank you. ",RA901,Don't know,April,2024,positive
1,"Was admitted to Hazel ward quite a few times during the course of 2023, the staff are absolutely brilliant, nothing is ever too much for them and they work non-stop in a challenging environment.
Truly wonderful nurses ",RNN62,Gastrointestinal and Liver services,December,2023,positive
2,"I was frightened anxious panicked  when I had a stroke 31/03/2024 I was taken to ward 17 and I thank God for every member of staff who came into contact with me. Their reassurance guidance and empathy was, I’m sure, my strength, and light in a very dark place. 
They ‘seen’ me, I was not just a ‘thing’ to be endured, Treated and got rid off. Every single member of the team was kind reached out to ‘me, mother scared ’ and gave me confidence and softened my fear. 
I was treated with professional immediate treatment, respect a beautiful smile and kindness by all staff.
From my heart ‘Thank you, God Bless you all” ",RC971,Stroke,March,2024,positive
3,My wife took my 13 year old daughter to Dorchester Hospital A&E on 27/3/24 after my daughter had injured her hand.  The staff were very efficient and helpful and the hand was x-rayed and doctors reviewed the x-ray then.  The waiting time was not long. The next day my wife was telephoned to advise of the x-ray results and advice on what happened next was given.  The service from dialling 111 to assessment was very quick and professional and my wife and I are very grateful for this.  The NHS is a very important service for UK residents and this experience reinforces how lucky we are to have it.  Thank you to the A&E staff working at the time.,RBD01,Accident and emergency services,March,2024,positive
4,"Went in to have my machine repaired only to be told straight away my machine was fine And I had the wrong size mask! Rather matter of factly ( which I need and prefer)! Readjusted the headgear to the correct size mask and now I have slept with no leakage ( and a green smiley face to greet me in the morning) for every night since being proffecionaly put in my place! 
I feel amazing compared to my defining sleep nights now! Thank you thank you thank you! 
",RK950,Sleep Medicine,April,2024,negative
5,Following an appointment at GP I had to attend SDEC for a possible scan.From the minute I arrived we were so impressed and my sister who worked with premature babies until retirement from Exeter was blown away by the services provided here in Durham.I was fortunate to be assessed quickly by a lovely nurse who wanted to give me an MOT.Forgive me if I am unsure of exact job titles but she will know who she is!Bloods sent away and while we waited I was astounded to be offered tea and biscuits.Then an X ray completed quickly and friendly radiographer.Back to waiting room to find my sister had been given a bag containing my lunch!We were speechless.Bloods processed quickly in haemotology who had alerted my GP the previous evening.We forget all the staff working behind the scenes who do such a fantastic job too.Finally visit from doctor and thankfully good news for me but had it not been I know I was in a fabulous hospital.We left yesterday just blown away by the whole experience.Thank you NHS but particular shout out to this amazing hospital and staff.Keep up the good work and keep being you!Karen,RXPCP,Haematology,April,2024,positive
6,My midwife chloe was fantastic and absolutely great. She kept me calm and delievered my baby perfectly. Thank you ,RTP04,Maternity services,April,2024,positive
7,"I was unexpectedly admitted to the Major trauma centre at the Queens Medical and then ward c30 with fractured ribs and a haemopneumothorax. I am so grateful to the staff for the amazing care I received, I couldn’t have wished for better. They were all brilliant!!",RX1RA,Major trauma,March,2024,negative
8,"I took my aged mother to the unit and she received the most caring and sympathetic attention from the nurses imaginable.  Likewise, the nursing staff were attentive, caring and wholly aware of the stress those accompanying patients can be under and  were magnificent in supporting me and others.  There would never me any criticism of the NHS if everyone's experience was like this. Quite the opposite.
My thanks to everyone in the Holbrook Unit.
",RBN01,Plastic surgery,April,2024,positive
9,"Marvelous experience from start to finish cannot commend the staff highly enough, thoughtful caring, polite and very pleasant.
Would like to say a big thank you to everyone from reception, to nurses and specialists for the care shown to me today.",RTG02,Urology,April,2024,negative
